gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G4800330,32.74362794990534,-101.43174697499684,1072.145171321822,10288.399294399778,-3321.243385258232
G4800350,31.900318215209374,-97.63420576039717,1017.630302231619,9532.438134463571,-3114.5622324458977
G2200150,32.67860445819984,-93.60480241619264,1067.8911893354789,8761.859035374466,-3058.874313546709
G5100230,37.557005606823296,-79.81239242334092,1410.5286701509565,6370.017984337368,-2997.514469737396
G3800090,48.79238248668024,-100.8333086524668,2380.6965887265005,10167.356133803636,-4919.897363168644
G0800130,40.090164283120174,-105.35395112786392,1607.2212722475645,11099.45501825234,-4223.657208591879
G1600210,48.76677313275106,-116.462633788148,2378.1981617812107,13563.545068872272,-5679.506840389282
G2000110,37.85515480296843,-94.84930394253674,1433.0127451567037,8996.390458383714,-3590.5350836985317
G2100170,38.206714741651545,-84.2171492394624,1459.7530513499337,7092.528226021883,-3217.6605973472365
G4800370,33.44588970354638,-94.42321136866244,1118.6275380617897,8915.742845171104,-3158.0683128909304
G3800110,46.11276310355187,-103.5206705223342,2126.386921044295,10716.529225393671,-4773.624156117242
G3100130,42.21968599808444,-103.08565501461008,1782.501885776847,10626.652269791204,-4352.243985623696
G4900030,41.52100677269246,-113.08264719168383,1723.994003417973,12787.68509587884,-4695.305359919897
G2100190,38.35924390412094,-82.68807339415801,1471.4315928958392,6837.317481637662,-3171.8519752883603
G3100150,42.89990288093621,-98.76627751461308,1840.4016671937588,9754.777574093565,-4237.063713288494
G2100210,37.62436497373357,-84.86681156436536,1415.5928396767094,7202.375705101498,-3193.0598924547553
G2100230,38.68874795465021,-84.09025409062673,1496.8192182984508,7071.170833026165,-3253.3466459547512
G1200070,29.949931792498475,-82.16880378187167,896.998414375311,6751.712314943728,-2460.9500687382474
G4200150,41.78855024275018,-76.51562629609289,1746.2829313908564,5854.641067483341,-3197.4770938297747
G0500110,33.46575683042911,-92.16229733083176,1119.9568802334124,8493.889049296637,-3084.281031407321
G4700110,35.15403153126702,-84.85963114442727,1235.805932901316,7201.156997968251,-2983.1581489828855
G2600230,41.91605820550617,-85.05904085323553,1756.9559354873809,7235.040430872391,-3565.3397073087476
G1300250,31.196870638647667,-81.98203364900411,973.2447376445168,6721.053841226442,-2557.5828984412415
G5400070,38.69983816316953,-80.71939726940847,1497.6774738555127,6515.621095536589,-3123.8276109546964
G4800390,29.19070709201159,-95.45489613841066,852.0973805316157,9111.637196794769,-2786.395913674734
G4800410,30.660654342030742,-96.3023172914091,940.0757246814886,9274.136315695232,-2952.6920628084645
G2100250,37.521602272709565,-83.32412572703257,1407.8706371114035,6942.90992817433,-3126.4547052509624
G2100270,37.77315031207906,-86.42933733418657,1426.8108844989183,7470.030352026616,-3264.708350497616
G1900170,42.77456293140019,-92.31805260654144,1829.6632339723153,8522.622837064151,-3948.864350922819
G1200090,28.262607559897855,-80.74376023469655,798.7749860847954,6519.554816838164,-2282.0292084237144
G4800430,29.811129329207983,-103.25169096857452,888.7034318827644,10660.91168787001,-3078.0495129235906
G4800450,34.530185132004824,-101.20859718015112,1192.333685250527,10243.180143174091,-3494.7515975811193
G2500050,41.80167296851213,-71.11487466300012,1747.3798629664377,5057.3253983342165,-2972.7207338594603
G4400010,41.71619996107472,-71.28373389325795,1740.2413391923706,5081.370717764811,-2973.6864970631877
G5105200,36.60192786798184,-82.18927840757998,1339.7011236529454,6755.077485158692,-3008.2860397957193
G3000070,46.33134873745571,-111.49554035235496,2146.593875831739,12431.255518463617,-5165.738762736024
